requested_name,match_name,element,median_value,mean_value,reported_value,catalog_id,catalog_citation,catalog_doi,note,solarnorm,median_uncertainty,std_dev,unique_citations,unique_dois
hd 22049,hd22049,Eu_II,,,0.05,luck18_raw_01_01_2025,Luck (2018) (2018),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Delgado Mena et al. (2017) (2017); Luck (2017) (2017); Luck (2018) (2018); Mishenina et al. (2013) (2013); Mishenina et al. (2016) (2016),
hd 22049,hd22049,Eu_II,,,0.09,mishenina13_raw_01_01_2025,Mishenina et al. (2013) (2013),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Delgado Mena et al. (2017) (2017); Luck (2017) (2017); Luck (2018) (2018); Mishenina et al. (2013) (2013); Mishenina et al. (2016) (2016),
hd 22049,hd22049,Eu_II,,,0.09,mishenina16_01_of_02_unique_01_01_2025,Mishenina et al. (2016) (2016),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Delgado Mena et al. (2017) (2017); Luck (2017) (2017); Luck (2018) (2018); Mishenina et al. (2013) (2013); Mishenina et al. (2016) (2016),
hd 22049,hd22049,Y_II,0.04,0.09,,,,,SUMMARY (median/mean),,,,Casamiquela et al. (2020) (2020); Delgado Mena et al. (2017) (2017); Luck (2017) (2017); Mishenina et al. (2013) (2013),
hd 22049,hd22049,Y_II,,,0.14,casamiquela20_raw_22_01_2025,Casamiquela et al. (2020) (2020),,individual measurement,grevesse07,,,Casamiquela et al. (2020) (2020); Delgado Mena et al. (2017) (2017); Luck (2017) (2017); Mishenina et al. (2013) (2013),
hd 22049,hd22049,Y_II,,,-0.06,delgadomena17_raw_01_01_2025,Delgado Mena et al. (2017) (2017),,individual measurement,grevesse07,,,Casamiquela et al. (2020) (2020); Delgado Mena et al. (2017) (2017); Luck (2017) (2017); Mishenina et al. (2013) (2013),
hd 22049,hd22049,Y_II,,,0.28,luck17_01_of_02_unique_01_01_2025,Luck (2017) (2017),,individual measurement,grevesse07,,,Casamiquela et al. (2020) (2020); Delgado Mena et al. (2017) (2017); Luck (2017) (2017); Mishenina et al. (2013) (2013),
hd 22049,hd22049,Y_II,,,-0.11,mishenina13_raw_01_01_2025,Mishenina et al. (2013) (2013),,individual measurement,grevesse07,,,Casamiquela et al. (2020) (2020); Delgado Mena et al. (2017) (2017); Luck (2017) (2017); Mishenina et al. (2013) (2013),
hd 23249,hd23249,Ba_II,0.06,0.08,,,,,SUMMARY (median/mean),,,,Allende Prieto et al. (2004) (2004); Bensby et al. (2005) (2005); Bensby et al. (2014) (2014); Delgado Mena et al. (2017) (2017); Jofre et al. (2015) (2015); Luck & Heiter (2005) (2005); Luck (2015) (2015); Luck (2017) (2017),
hd 23249,hd23249,Ba_II,,,0.21,allendeprieto04_raw_01_01_2025,Allende Prieto et al. (2004) (2004),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Bensby et al. (2005) (2005); Bensby et al. (2014) (2014); Delgado Mena et al. (2017) (2017); Jofre et al. (2015) (2015); Luck & Heiter (2005) (2005); Luck (2015) (2015); Luck (2017) (2017),
